"sample_id","candidate_bucket","service_label","approved_label","emotion_major","emotion_minor","situation_keyword","review_note","text"
"valid-004890","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","부모님이 뒷받침해주신 덕분에 내가 가고 싶은 대학에 갈 수 있을 것 같아. 그래서 너무 감사해."
"valid-002457","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","오빠가 독립해서 내가 이젠 오빠가 쓰던 넓은 방을 쓰기로 했어. 방이 넓어져서 기뻐. 응. 내 방은 책상만으로도 꽉 차서 불만이었어. 내 물건들을 두는 곳으로 쓸 거야."
"valid-003925","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","은퇴 후 재취업을 하려고 면접을 보러 갔는데 내 나이처럼 안 보인다고 말하더라. 어려 보인다고 하니 기분이 정말 좋더라. 내가 매일 달리기를 하고 있는데 운동을 계속해야겠어."
"valid-002983","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","노년을 보내려고 사 놓은 땅에 고속도로가 뚫리게 되어 큰돈을 벌게 되어 너무 신나. 은퇴 후 귀농하려고 별생각 없이 사 놓은 땅이 효자 노릇을 하게 됐어. 너무 신나. 번 돈으로 일부는 자식들에게 물려주고 귀농할 다른 땅도 보러 다녀야겠어."
"valid-006160","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","내가 사둔 땅값이 올라 기뻐 이제 나도 남들에게 많이 베풀고 살아야겠다는 생각이 들어 많이 가진 사람이 나누기가 쉽지 않은데 내 주위에는 그런 사람이 많아서 좋았어! 이제는 나도 어려운 사람에게 나누고 봉사하면서 살아야겠어."
"valid-004443","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","요즘 새로운 사람을 만나는 게 너무 신나. 이번에 헬스장에서 새로운 친구를 만났는데 성격도 잘 맞고 좋더라고."
"valid-005620","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","아들이 선물을 사 왔어 너무 기뻐. 오늘은 저녁 식사로 맛있는 음식을 해줘야겠어."
"valid-001125","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","학교폭력 가해자 애들이 사라져서 이제 학교에 나 괴롭히는 사람은 없을 거야. 나를 괴롭히던 가해자들이 학교에서 퇴학당했어. 선생님께 말씀을 드렸는데 내 말을 믿어주시고 나를 지지해 주셨어."
"valid-004772","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","다음 주부터 매주 친구들하고 모임을 갖기로 해서 너무 기뻐. 매주 만나서 좋아하는 시 한 편을 낭송하는 시 낭송 모임이야."
"valid-004068","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","학교폭력으로 힘든 나를 친구가 위로해주었어. 친구가 많은 이야기를 해주지는 않았어도 옆에 있다는 것이 큰 힘이 돼. 친구에게 고마운 마음으로 친구에게 감사 편지를 주는 건 어떨까?"
"valid-005673","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","건강 검진받았는데 생각보다 건강해서 기뻐. 건강관리를 꾸준히 해야겠어."
"valid-003847","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","딸의 남자친구를 만났는데 너무 괜찮았어. 아주 다정하고 늠름하고 딸에게 잘해 주는 모습이 마음에 들었어. 예쁜 만남을 기대하지만 부모가 껴서 좋을 게 없으니 지켜봐야지."
"valid-006593","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","동료들이 나 몰래 생일파티를 준비해 줬어. 정말 기뻤어. 생각지도 못한 이벤트라 감동했어."
"valid-002456","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","집안일을 하고 나서 엄마가 용돈을 줬어. 너무 좋아. 친구 엄마들은 딸이 집안일을 하는 걸 당연하게 생각한대. 우리 엄마는 안 그래서 고마워. 받은 용돈으로 운동화를 살 생각에 신나."
"valid-004510","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","이번에 진급해서 연봉이 꽤 올랐어. 그동안의 스트레스가 한 번에 보상되는 기분이야."
"valid-002553","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","내가 주먹을 휘두르니까 괴롭히던 애들이 도망갔어. 이제 자신감이 생겼어. 이제 애들이 다시 날 괴롭혀도 이길 수 있을 것 같아. 이제 집에 가야지. 앞으로는 친구가 괴롭히면 당당하게 나서겠어."
"valid-006615","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","대학원 조 발표가 있는데 잘 해낼 자신이 있어. 벌써 조원들과 친목 도모도 성공했는걸. 다들 엘리트에 학구열도 높아서 친해지고 싶은 구성원이야. 조 발표뿐만 아니라 남은 학교생활도 재미있을 것 같아."
"valid-003752","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","딸이 내 얼굴이 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아. 기쁘지. 나를 닮았으면 딸에게도 미안했을 거야. 나는 아내 보다 못생겨서 날 닮았으면 딸도 싫어했을 거야. 이대로 예쁘게 컸으면 좋겠어."
"valid-002980","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","복권에 당첨됐어. 너무 신나. 그렇게 큰 금액은 아니지만 공돈이 생기니 기분이 좋네. 이 돈으로 오랜만에 가족들과 외식을 해야겠어."
"valid-003154","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","열심히 노력하며 살아왔기에 모두가 나를 인정하는 것 같아서 기뻐. 이 인정을 그대로 유지하고 싶은데 어떻게 해야 할까? 사람들에게 믿음을 줬는데 앞으로도 그러려고 노력해야겠어."
"valid-003676","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","사위가 아들 못지않게 나를 챙겨주고 존중해줘서 너무 고마워. 어쩔 땐 아들보다도 더 나를 챙긴다니까. 내가 어디 아프다고 하면 바로 달려와서 병원에 데려다주는데 참 기특해."
"valid-006544","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","가족끼리 외식하고 왔더니 기분이 좋네. 오랜만에 함께해서 그런지 기분이 참 좋아. 자식도 아무 일 없이 무탈하게 커가고 감사하게 생각해."
"valid-003754","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","가족이 정말 감사해. 화목한 가정이란 게 안식처더라고. 그치! 가족들에게 감사함을 전하고 싶어. 매일 고맙다고 말해주면 돼. 이것만큼 감사함이 전해지는 게 없어."
"valid-002458","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","고장 난 노트북을 수리 맡기는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐. 응. 저렴하지 않은 가격인데도 아빠가 사주셨어. 보호 필름도 붙이고 충격 완화 케이스도 사려고."
"valid-004267","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","이번 프로젝트에서 반드시 성과를 거둘 것이라고 믿어. 팀원들이 능력이 좋아서 일이 아주 잘 진행되고 있어. 이 프로젝트에서 성과를 거두고 나면 나도 어엿한 회사의 중심이 되는 거지."
"valid-000130","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","나는 내성적이지만 사교성 좋은 직장 동료를 만나서 잘 적응하게 되었어. 너무 감사해. 나는 대인관계에 공포가 있었는데 그 동료가 회사 내 테니스 동아리에 가입시켜 줬어. 덕분에 이제는 자신감이 생겼어."
"valid-001293","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","회사를 그만둘 때 걱정 많았는데 프리랜서하면서 많은 일들을 맡았어. 좋은 시작을 한 것 같아서 기분이 좋네. 지금보다 일을 조금 더 확장해서 다양한 업무들을 담당해보고 싶어. 지금보다 일들이 더 많아질 테니 나와 뜻이 맞는 동업자를 찾아봐야겠어."
"valid-000433","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","오늘 준비물 깜빡했는데 민우가 쉬는 시간에 뛰어가서 사다 줬어. 감동이야. 민우는 내가 덜렁댄다고 항상 챙겨줘. 정말 좋은 친구야. 지금보다 더 잘 놀아줄래. 더 웃기게 해주고."
"valid-001008","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","부모님께 용돈 보내고 집에 가는 길이라 뿌듯해. 소싯적에 우리 가족 먹여 살리려고 정말 고생 많이 했거든. 자영업으로 성공한 내 도움에 우리 집은 재기할 수 있었어."
"valid-000757","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","엄마가 갖고 싶었던 신발을 사줬어. 날아갈 것 같은 기분이야. 엄마한테 고마운 마음을 전하고 싶은데 어떤 방법이 좋을지 고민 중이야. 엄마가 좋아하는 가수의 앨범을 사서 선물로 드리려고 해."
"valid-000694","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","내가 보호자도 없는데 신경 써주는 간호사에게 너무 고마워. 날 더 신경 써주는 그 간호사가 참 좋은 분이라고 생각해. 조만간 고맙다고 진심을 전하고 싶어. 참 감사하다고."
"valid-004265","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","우리 회사는 관련 산업에서 국내 최고야. 이번에 기업들 평가가 발표되었는데 우리 회사가 가장 일을 잘한다고 나왔어. 이게 다 지난 수십 년간 땀 흘리며 고생해 온 결과라고 생각해."
"valid-000756","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","오늘 너무 신나는 일이 있어. 내 방이 생겼어! 그런데 형과 방을 같이 써서 컴퓨터도 같이 썼거든. 내 방에 가져올 수 있을지 고민이야. 아무래도 형이 줄 것 같지 않으니 아빠한테 사달라고 말해볼까."
"valid-003497","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","고장 난 노트북을 고치는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐. 응. 저렴하지 않은 가격인데도 아빠가 사주셨어. 보호 필름도 붙이고 충격 완화 케이스도 살 생각이야."
"valid-006552","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","출산을 무사히 마치고 퇴원했어. 많은 사람이 축하해줬는데 그분들께 너무 감사해. 출산 직후에는 정신이 없었는데 퇴원하고 여유가 생기니 주변 사람들에게 감사하는 마음이 들어. 그렇지. 이제 힘내서 사람들에게 감사 인사를 전하는 연락을 할 거야."
"valid-004543","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","우리 딸은 날 더 좋아해. 다른 사람보다 날 더 많이 좋아하더라고."
"valid-005468","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","이번 달도 월세가 잘 입금됐네. 일도 못 하는 나이인데 이렇게 꼬박꼬박 돈 들어오니 감사하지."
"valid-004616","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","이번엔 공부 열심히 했으니까 분명 성적이 오를 거야. 부모님께 성적표 나오면 당당하게 내놓을 거야."
"valid-003454","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","딸이 생일이라고 백만 원을 선물로 줬어. 딸에게 이런 선물을 받다니 너무 기뻐. 선물도 고맙지만 잘 키워주었다고 생각하는 마음이 예쁘지. 평생 함께 고락을 나눈 남편에게 자랑해야지."
"valid-000983","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","내놓은 집이 원하는 가격에 잘 팔려서 기쁘네. 집을 팔았으니 그 돈으로 전원주택으로 이사하려고. 지금 집을 보러 다니기로 했는데 너무 기대돼."
"valid-006285","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","결혼식이 드디어 내일로 다가왔어. 너무 기쁘고 행복해. 그동안 결혼식 준비로 여자친구와 힘든 일을 많이 겪어서 더 좋은 것 같아. 빨리 내일이 되어 멋지게 마무리 할 수 있었으면 좋겠어."
"valid-000979","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","너무 기쁜 일이 있어! 드디어 오늘 모든 대출금을 상환했어. 돈을 다 갚는 것이 이렇게 행복한 일인 줄 몰랐어."
"valid-002460","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","동생이 며칠 동안 수련회를 가게 되어서 좋아. 동생이랑은 요즘 많이 싸우거든. 며칠 동안은 동생이랑 안 싸우고 조용히 지낼 수 있어. 텔레비전 맘껏 보고 컴퓨터 게임도 할 거야."
"valid-000754","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","누나가 청소 내기를 하자고 했는데 내가 이겼어. 누나가 억지로 방 청소 내기를 하자고 한 건데 내가 더 빨리했어. 그런데 엄마가 시킨 것 같아. 내가 내기에서 이겼지만 그래도 누나를 도와주는 게 좋을 것 같아."
"valid-003098","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","아내와 같이 응원하던 야구팀이 우승 했어. 오랜만에 치킨과 맥주를 마시면서 응원도 하고 자연스럽게 대화도 많이 했어. 아내와 앞으로도 같은 취미생활을 더 많이 하려고 해."
"valid-000635","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","나 이번에 새로 나온 최신 핸드폰 샀는데 애들이 부러워하겠지! 내가 용돈을 열심히 모으고 시험 잘 봤기 때문에 부모님께서 사주셨어. 빨리 학교에 가서 친구들에게 자랑하고 싶어."
"valid-003842","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","상사 분이 승진하셔서 짧은 축하 편지를 드렸어. 상사 분께서도 내 편지를 받고 좋아해 주셔서 기뻤어. 말로만이 아니라 직접 식사라도 대접해 드리고 싶어."
"valid-003907","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","내가 이제 드디어 정년을 맞이하게 되는구나. 내가 지금까지 일을 잘 해 왔다는 사실이 너무 기뻐. 내가 가진 능력들을 다른 사람들을 위해 쓰고 싶어."
"valid-003507","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","거래처에서 납품 기한일을 미루어 주었어. 정말 감사해. 응. 거래처에 잘 말하니 그동안의 신뢰 관계가 있어 받아준다고 해서 기뻤어. 감사한 마음을 가지고 더 납품하는 물건에 신경을 써야겠어."
"valid-005333","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","펀드에 넣어둔 자금이 많이 올랐어. 응 아주 신이 나. 생각보다 짧은 기간에 반등했어."
"valid-002987","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","그동안 고생한 아내에게 같이 준비한 노후자금의 반을 주려고 해. 너무 기쁘고 신나. 그동안 같이 고생했는데 아내의 몫을 온전히 줄 수 있어서 행복해. 이 노후 자금은 절대 간섭하지 않고 온전히 당신 것이라는 것을 얘기해 주겠어."
"valid-000127","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","나를 응원해 준 친구 덕분에 용기를 내서 매니지먼트 회사에 지원했어. 지금이 너무 행복해. 일단 형제 같은 좋은 친구를 만난 것이지. 사람은 인복이 굉장히 중요하잖아. 지금 사랑하는 친구를 만나고 싶어. 오늘 거하게 먹고 마실 거야."
"valid-004637","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","나는 학교에서 따돌림은 당하지 않을 것 같아. 나는 친구들에게 인기가 아주 많은 편이거든."
"valid-006607","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","나 오늘 기분이 무척 좋아. 응. 내가 믿고 의지하던 부장님이 오늘 업무 잘 처리했다고 칭찬해 주셨거든. 앞으로도 잘 따르기로 했어."
"valid-003849","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","우리 딸 성적으론 서울대도 그냥 갈 것 같은 자신감이 들어. 평소 딸아이의 성적을 보면 충분히 가능하리라 생각해. 성적은 충분하니까 좋은 음식으로 체력을 키우게 해 주고 싶어."
"valid-005396","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","오늘 건강검진을 했는데 아주 건강하다네. 앞으로도 이대로만 유지했으면 싶어."
"valid-002453","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","내가 평소 갖고 싶었던 옷을 언니가 인터넷으로 주문해 줘서 아주 기뻐. 응. 언니는 평소에 무뚝뚝하지만 나한테 잘해 줘. 고맙다고 문자를 보낼 거야."
"valid-006397","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","어제 고등학교 은사님을 만났어. 인사드리기 위해 친구들하고 찾아갔지. 어려울 때 좋은 조언을 해주신 분이야. 정말 감사하지."
"valid-001048","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","자식들 고생시키지 않고 늙어서 편하게 갈 수 있어서 다행인 것 같아. 내 죽음으로 자식들은 슬프지 않고 남은 인생 잘 살았으면 좋겠어. 자식들에게 유산도 많이 남기고 내 보험금도 도움이 되면 좋겠어."
"valid-000122","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","입사 새내기지만 우리 팀을 잘 이끌어 주시는 팀장님이 있어서 감사함을 느껴. 그 분이 보기와는 달리 실제로는 인간미 넘치고 주어진 업무는 엄청 깔끔하게 하셔. 내가 더 믿고 신뢰해야지. 나는 그분께 정말 인정받는 신입이 되고 싶어."
"valid-005690","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","회사에서 마흔이 넘어서 진급해서 기뻐. 우리 부서 직원들에게 음식 대접을 하려고 해."
"valid-004658","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","이번에 정부에서 시행하는 서민금융지원 혜택을 드디어 받게 됐어. 그러게 말이야. 나에게 정보를 준 사촌 형에게 밥 한 번 사야겠어."
"valid-005218","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","내가 병원에 입원했을 때 도와준 지인들이 정말 고마웠어. 도와준 친구들에게 작은 선물이라도 해야겠어."
"valid-006148","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","요샌 작은아들 얼굴만 봐도 기뻐 사춘기가 지나고 나니 부모에게 더욱 효도하려고 노력하더라고"
"valid-004259","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","나는 이 기업에서 꾸준히 일해서 정년퇴임을 할 수 있어. 그동안 해고당할까 봐 신경 쓰였던 나날은 이제 안녕이야. 나이는 많은데 일 잘하는 젊은 친구들은 계속 들어오니까 불안했었는데 이제는 아니야."
"valid-005659","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","점점 더 몸이 건강해지고 있는 것 같아서 너무 기뻐. 운동하는 보람을 느끼게 되네."
"valid-005231","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","건강검진 결과가 생각보다 잘 나와서 다행이야. 맞아. 비만이 걱정스럽지만 이제부터라도 관리를 열심히 해야겠어."
"valid-001009","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","기분이 좋아서 친구들한테 한턱 냈어. 기분이 너무 좋아서 오차까지 갔어. 끝엔 기억도 안 나. 친구들이 가장 늦게 취업한 나를 위해 축하 파티를 벌여 주었거든."
"valid-006340","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","나 요즘 직장에서 대인관계에 참 감사해. 응. 내 직장 상사와의 대인관계에서 참 감사해하고 있어. 무뚝뚝하신 분인데 내가 잘한 부분은 잘했다고 말해주고 특히 못 했다 하는 부분은 기분 안 나쁘게 못 한 부분을 짚어주시니 마음이 편해."
"valid-002560","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","오늘 따돌림에 대해 학교에서 배웠어. 난 언제든 따돌림당하는 친구가 생기면 도와줄 거야. 맞아. 난 항상 그럴 준비가 되어있어. 문제는 내 주위에 그런 애가 없다는 거지만. 일단 주위에 그런 애가 있는지부터 알아보려고."
"valid-002222","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","선생님께서 학교폭력을 이겨낸 내가 자랑스럽다며 수고했다고 안아주셨어. 정말 행복해. 선생님께서도 학교폭력이 하루빨리 사라졌으면 좋겠다고 하셨어. 선생님께 꾸준한 익명 조사와 학생들을 관심 있게 지켜보셨으면 좋겠다고 말씀드렸어."
"valid-000695","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","옆집 박 씨는 도움을 많이 주었어. 정말 고마운 사람이야. 약값이 없을 때 돈을 빌려주기도 해서 정말 고마웠었어. 맞아. 옆집 박 씨와 앞으로도 잘 지낼 수 있게 작은 선물이라도 하나 주려고 해."
"valid-003027","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","오랫동안 입원했다 퇴원하는 아내를 데리러 차로 마중 나가고 있는 지금 이 순간이 감사해. 그동안 수고한 아내를 위해 이제 내가 아내가 행복해질 수 있게 도와주고 싶어. 아내를 위해 매일 아침 밥을 하고 산책을 하며 아내의 건강을 챙겨줄 거야."
"valid-003722","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","이번에 교수님이 우리 조 팀플레이 발표를 들으시더니 참신하다고 칭찬하셨어. 에이 플러스를 기대해도 되겠어. 이번 팀플레이는 팀원들이 적극적으로 임해서 크게 힘들지 않고 좋은 결과를 낼 수 있었어. 다들 친해지고 싶은데 만나서 밥 한번 먹자고 해야겠어."
"valid-003496","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","집안일을 했는데 엄마가 용돈을 주셔서 기뻐. 친구 엄마들은 딸이 집안일을 하는 걸 당연하게 생각한대. 우리 엄마는 안 그래서 고마워. 사고 싶었던 운동화를 살 거야."
"valid-005564","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","감사하는","","","오늘 내 생일이었는데 딸아이가 케이크하고 카드를 식탁 위에 올려놓았더라고. 해준 것도 없는데 고맙더라고. 잘 커 준 것만도 고마운데 나보고 잘 키워줘서 고맙다는군."
"valid-000751","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","아빠가 출장 갔다 한 달 만에 돌아오셔서 기뻐. 아빠가 힘들게 일하시다가 오셨으니 최고의 휴식을 취할 수 있게 해드릴 거야. 아빠가 나에게 안마를 받는 것을 좋아하시니 안마를 해 드릴 거야."
"valid-005499","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","와 정말 다행이다. 건강검진 진단이 아주 좋게 나왔어."
"valid-004395","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","우리 누나는 대단해. 이번에 자기가 원하는 대학교에 합격했어. 내가 볼 때도 진짜 열심히 했거든. 내가 다 신이 나네! 나도 누나를 보니 열심히 해야겠다고 생각했어. 목표를 세워야겠다."
"valid-004434","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","신이 난","","","부모님께서 내 기말고사 성적을 보시고 자랑스러워하셔서 무척 기뻐. 정말 열심히 공부했는데 좋은 성적을 받고 부모님도 기뻐하시니까 신이 나. 오늘은 부모님과 함께 나가서 외식할 거야."
"valid-003908","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","기쁨","","","회사 사람들이 내 생일까지 축하해 주리라고는 생각지도 못했어. 그런 행복한 일을 경험하고 나니까 회사일도 더 잘하고 싶어졌어. 내가 새로운 아이디어를 지금보다 더 많이 만들어 내야겠어."
"valid-001091","HAPPY_TO_CALM_BOUNDARY_V3","HAPPY","","기쁨","자신하는","","","내 친구들은 다들 성격이 점잖고 성품이 온화한 것 같아. 많은 친구들이 있는데 다들 점잖고 온화한 친구들이라니 난 행복한 사람인 것 같아. 많은 친구들이 좋은 사람들이라 나는 행복한 사람인 것 같아."
